"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"f:\React-Projects\the-ordinary-site - Copy\.eslintrc.cjs", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 16
"f:\React-Projects\the-ordinary-site - Copy\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 4, 18
"f:\React-Projects\the-ordinary-site - Copy\backend\Dev-data\import-dev-data.js", "JavaScript", 0, 0, 37, 0, 0, 0, 8, 7, 52
"f:\React-Projects\the-ordinary-site - Copy\backend\Dev-data\products.json", "JSON", 182, 0, 0, 0, 0, 0, 0, 2, 184
"f:\React-Projects\the-ordinary-site - Copy\backend\Models\cartModel.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 3, 54
"f:\React-Projects\the-ordinary-site - Copy\backend\Models\ordersModel.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 3, 39
"f:\React-Projects\the-ordinary-site - Copy\backend\Models\productModel.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 3, 48
"f:\React-Projects\the-ordinary-site - Copy\backend\Models\userModel.js", "JavaScript", 0, 0, 58, 0, 0, 0, 4, 5, 67
"f:\React-Projects\the-ordinary-site - Copy\backend\Util\CatchAsync.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 1, 9
"f:\React-Projects\the-ordinary-site - Copy\backend\Util\appError.js", "JavaScript", 0, 0, 10, 0, 0, 0, 7, 4, 21
"f:\React-Projects\the-ordinary-site - Copy\backend\app.js", "JavaScript", 0, 0, 46, 0, 0, 0, 12, 8, 66
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\AuthController.js", "JavaScript", 0, 0, 97, 0, 0, 0, 16, 9, 122
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\CartController.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\DefaultController.js", "JavaScript", 0, 0, 58, 0, 0, 0, 6, 7, 71
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\ErrorController.js", "JavaScript", 0, 0, 70, 0, 0, 0, 7, 4, 81
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\OrdersController.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\ProductController.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 2, 9
"f:\React-Projects\the-ordinary-site - Copy\backend\controllers\UserController.js", "JavaScript", 0, 0, 44, 0, 0, 0, 10, 5, 59
"f:\React-Projects\the-ordinary-site - Copy\backend\index.js", "JavaScript", 0, 0, 26, 0, 0, 0, 5, 5, 36
"f:\React-Projects\the-ordinary-site - Copy\backend\package-lock.json", "JSON", 3027, 0, 0, 0, 0, 0, 0, 1, 3028
"f:\React-Projects\the-ordinary-site - Copy\backend\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 1, 32
"f:\React-Projects\the-ordinary-site - Copy\backend\routes\cartRouter.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"f:\React-Projects\the-ordinary-site - Copy\backend\routes\ordersRouter.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 5, 14
"f:\React-Projects\the-ordinary-site - Copy\backend\routes\productsRouter.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 4, 15
"f:\React-Projects\the-ordinary-site - Copy\backend\routes\userRouter.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 5, 27
"f:\React-Projects\the-ordinary-site - Copy\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 2, 16
"f:\React-Projects\the-ordinary-site - Copy\package-lock.json", "JSON", 7012, 0, 0, 0, 0, 0, 0, 1, 7013
"f:\React-Projects\the-ordinary-site - Copy\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 1, 42
"f:\React-Projects\the-ordinary-site - Copy\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\React-Projects\the-ordinary-site - Copy\src\App.jsx", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 5, 36
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\CartWhenItems.jsx", "JavaScript", 0, 0, 99, 0, 0, 0, 3, 6, 108
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\CartWhenItems.module.css", "CSS", 0, 0, 0, 159, 0, 0, 5, 6, 170
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\Edit_detailsPage.jsx", "JavaScript", 0, 0, 142, 0, 0, 0, 1, 5, 148
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\Edit_detailsPage.module.css", "CSS", 0, 0, 0, 57, 0, 0, 0, 1, 58
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\FilterComponent.jsx", "JavaScript", 0, 0, 80, 0, 0, 0, 3, 6, 89
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\FilterComponent.module.css", "CSS", 0, 0, 0, 73, 0, 0, 1, 2, 76
"f:\React-Projects\the-ordinary-site - Copy\src\Components\ChildComponents\NavItem.module.css", "CSS", 0, 0, 0, 13, 0, 0, 4, 1, 18
